Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Mikal Bridges,27,82,82,34.8,6.9,15.8,.436,2.7,7.2,.372,4.2,8.6,.490,.521,3.1,3.9,.814,0.8,3.7,4.5,3.6,1.0,0.4,2.0,1.4,19.6,,bridgmi01
2,Dennis Schröder,30,29,25,32.0,5.4,12.7,.424,2.1,5.1,.412,3.3,7.6,.432,.507,1.8,2.2,.797,0.6,2.9,3.5,6.0,0.6,0.3,2.4,2.0,14.6,,schrode01
3,Cam Thomas,22,66,51,31.4,8.0,18.0,.442,2.2,6.0,.364,5.8,12.0,.481,.503,4.3,5.1,.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5,,thomaca02
4,Spencer Dinwiddie,30,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6,,dinwisp01
5,Nic Claxton,24,71,71,29.8,5.2,8.2,.629,0.0,0.1,.200,5.1,8.1,.633,.630,1.5,2.8,.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,,claxtni01
6,Dorian Finney-Smith,30,68,56,28.4,3.2,7.5,.421,1.7,4.9,.348,1.4,2.6,.560,.535,0.5,0.7,.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5,,finnedo01
7,Cameron Johnson,27,58,47,27.6,4.8,10.7,.446,2.4,6.1,.391,2.4,4.6,.519,.557,1.5,1.9,.789,0.9,3.4,4.3,2.4,0.8,0.3,1.0,1.8,13.4,,johnsca02
8,Royce O'Neale,30,49,6,24.5,2.6,6.6,.388,2.0,5.4,.366,0.6,1.2,.483,.537,0.3,0.4,.682,0.8,3.7,4.5,2.8,0.7,0.6,1.0,2.4,7.4,,onealro01
9,Ben Simmons,27,15,12,23.9,2.9,4.9,.581,0.0,0.0,,2.9,4.9,.581,.581,0.4,1.0,.400,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,,simmobe01
10,Dennis Smith Jr.,26,56,2,18.9,2.6,6.0,.435,0.6,1.9,.294,2.1,4.1,.502,.482,0.8,1.0,.741,0.9,2.0,2.9,3.6,1.2,0.2,1.2,2.2,6.6,,smithde03
11,Lonnie Walker IV,25,58,0,17.4,3.6,8.5,.423,1.8,4.7,.384,1.8,3.8,.471,.528,0.8,1.0,.763,0.2,2.0,2.2,1.3,0.6,0.3,0.9,1.2,9.7,,walkelo01
12,Noah Clowney,19,23,4,16.1,2.2,4.0,.538,0.5,1.4,.364,1.7,2.6,.633,.602,0.9,1.3,.700,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8,,clownno01
13,Jalen Wilson,23,43,3,15.4,1.8,4.2,.425,0.6,1.7,.324,1.2,2.4,.495,.492,0.9,1.1,.826,1.1,2.0,3.0,1.0,0.3,0.1,0.4,1.1,5.0,,wilsoja03
14,Day'Ron Sharpe,22,61,1,15.1,2.8,4.8,.571,0.1,0.2,.267,2.7,4.6,.588,.578,1.2,2.0,.610,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8,,sharpda01
15,Trendon Watford,23,63,2,13.6,2.6,4.9,.527,0.4,1.1,.397,2.2,3.9,.564,.571,1.2,1.5,.794,0.8,2.3,3.1,1.3,0.4,0.3,1.0,1.7,6.9,,watfotr01
16,Keon Johnson,21,5,0,12.2,1.6,4.2,.381,0.8,2.0,.400,0.8,2.2,.364,.476,2.2,2.4,.917,0.6,0.8,1.4,0.6,0.6,0.2,1.0,1.0,6.2,,johnske07
17,Dariq Whitehead,19,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,,whiteda01
18,Jacob Gilyard,25,4,0,11.3,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,0.3,0.5,0.8,1.5,1.5,0.0,0.3,1.0,0.0,,gilyaja01
19,Armoni Brooks,25,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,,brookar01
20,Harry Giles,25,16,0,5.1,1.4,2.8,.500,0.2,0.7,.273,1.2,2.1,.576,.534,0.4,0.8,.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4,,gilesha01
21,Keita Bates-Diop,28,14,0,4.9,0.6,1.1,.500,0.1,0.4,.200,0.5,0.8,.636,.531,0.4,0.4,1.000,0.1,0.6,0.6,0.3,0.2,0.1,0.1,0.1,1.6,,bateske01
,Team Totals,,,,48.3,40.7,89.1,.456,13.3,36.7,.362,27.4,52.4,.522,.531,15.8,20.9,.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,,-9999